reporting_period,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,average_delay_mins,arrival_departure_A,arrival_departure_D,scheduled_charter_C,scheduled_charter_S
202201,18,0,0,5.555556,16.666667,44.444444,16.666667,16.666667,0.0,0.0,0.0,0.0,16.0,1,0,0,1
202201,5,0,0,20.0,40.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,31.0,1,0,0,1
202201,2,0,0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,17.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,18.0,0,1,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,114.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,92.0,0,1,1,0
202201,2,0,0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,78.0,1,0,0,1
202201,3,0,0,33.333333,33.333333,0.0,0.0,0.0,33.333333,0.0,0.0,0.0,28.0,1,0,0,1
202201,28,0,2,16.666667,43.333333,20.0,6.666667,0.0,3.333333,0.0,3.333333,0.0,16.0,1,0,0,1
202201,5,0,0,40.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,28.0,1,0,0,1
202201,34,0,4,15.789474,44.736842,13.157895,0.0,5.263158,7.894737,0.0,2.631579,0.0,17.0,1,0,0,1
202201,19,0,1,30.0,40.0,5.0,0.0,15.0,0.0,0.0,5.0,0.0,16.0,1,0,0,1
202201,42,0,2,15.909091,36.363636,20.454545,2.272727,11.363636,6.818182,0.0,2.272727,0.0,17.0,1,0,0,1
202201,31,0,8,17.948718,25.641026,17.948718,5.128205,5.128205,5.128205,0.0,2.564103,0.0,19.0,1,0,0,1
202201,4,0,0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,17.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,28.0,1,0,1,0
202201,5,0,0,0.0,0.0,20.0,40.0,0.0,40.0,0.0,0.0,0.0,42.0,1,0,1,0
202201,4,0,0,0.0,25.0,50.0,0.0,0.0,25.0,0.0,0.0,0.0,19.0,1,0,0,1
202201,6,0,0,0.0,33.333333,50.0,0.0,0.0,0.0,0.0,16.666667,0.0,54.0,0,1,1,0
202201,8,0,0,0.0,37.5,37.5,12.5,0.0,12.5,0.0,0.0,0.0,19.0,0,1,1,0
202201,4,0,0,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,32.0,1,0,0,1
202201,8,0,0,0.0,62.5,12.5,0.0,12.5,12.5,0.0,0.0,0.0,17.0,0,1,0,1
202201,3,0,0,0.0,33.333333,33.333333,0.0,33.333333,0.0,0.0,0.0,0.0,18.0,0,1,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,32.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,101.0,1,0,1,0
202201,15,0,1,56.25,25.0,6.25,0.0,0.0,0.0,0.0,6.25,0.0,22.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,114.0,1,0,1,0
202201,10,0,0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,1,0,0,1
202201,4,0,0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,44.0,1,0,1,0
202201,3,0,0,0.0,0.0,66.666667,0.0,33.333333,0.0,0.0,0.0,0.0,19.0,0,1,0,1
202201,11,0,0,0.0,54.545455,18.181818,9.090909,9.090909,0.0,0.0,9.090909,0.0,24.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,54.0,0,1,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,122.0,1,0,0,1
